Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,RE24,DFS(DK),DFS(FD),Pos
50,477,59,Jun 2,NYM,@,ARI,L1-7,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.251,.387,.491,.879,4,.53,-0.057,-0.78,0.00,0.00,RF
51,478,60,Jun 4,NYM,,SFG,L3-9,CG(10),5,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.250,.383,.483,.866,3,1.23,-0.156,-1.13,3.00,3.00,RF
52,479,61,Jun 5,NYM,,SFG,W7-0,CG,4,3,1,1,0,0,1,2,0,0,2,0,0,1,0,0,0,0,.251,.381,.497,.878,4,.30,0.093,0.35,16.00,22.20,RF
53,480,62,Jun 6,NYM,,SFG,W7-3,CG,4,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,.253,.383,.495,.877,4,1.56,0.047,0.44,12.00,15.20,RF
54,481,63,Jun 7,NYM,,COL,L1-5,CG,4,4,1,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,.258,.385,.511,.895,3,.73,0.106,0.66,17.00,21.70,RF
55,482,64,Jun 8,NYM,,COL,W5-3,CG,4,2,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,.255,.387,.505,.892,4,.63,0.001,-0.02,6.00,9.20,RF
56,483,65,Jun 9,NYM,,COL,W6-1,CG,4,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.260,.388,.510,.899,2,.51,0.094,1.03,10.00,12.20,RF
57,484,66,Jun 11 (1),NYM,@,NYY,L5-12,CG,5,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.259,.385,.502,.887,2,.40,-0.039,-0.72,3.00,3.00,RF
58,485,67,Jun 11 (2),NYM,@,NYY,W10-4,CG,5,4,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,.259,.385,.498,.882,5,.41,0.067,0.80,9.00,12.70,RF
59,486,68,Jun 13,NYM,,STL,L4-5,CG(10),4,4,1,1,0,0,1,2,0,0,3,0,0,0,0,0,0,0,.258,.383,.507,.890,2,.79,0.184,1.26,16.00,22.20,RF
60,487,69,Jun 14,NYM,,STL,L5-9,CG,5,5,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.257,.379,.500,.879,2,1.58,0.039,-0.12,5.00,6.20,RF
61,488,70,Jun 15,NYM,,STL,W8-7,CG,5,3,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,.258,.383,.498,.881,3,.66,-0.014,0.71,14.00,18.50,RF
62,489,71,Jun 16,NYM,,STL,L3-4,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.258,.381,.493,.875,3,1.34,-0.064,-0.49,3.00,3.00,RF
63,490,72,Jun 17,NYM,@,ATL,L3-12,CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.258,.380,.489,.868,4,.74,-0.016,-0.16,3.00,3.00,RF
64,491,73,Jun 18,NYM,@,ATL,W10-2,GS-8,5,4,2,2,1,0,1,2,1,1,0,0,0,0,0,0,0,0,.262,.384,.507,.890,4,.59,0.083,2.13,25.00,34.40,RF
65,492,74,Jun 19,NYM,@,ATL,L2-7,CG,4,4,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,.262,.382,.502,.884,3,1.12,-0.004,0.02,5.00,6.50,RF
66,493,75,Jun 20,NYM,@,CHC,L4-7,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.257,.376,.494,.870,4,.65,-0.072,-0.91,0.00,0.00,RF
67,494,76,Jun 21,NYM,@,CHC,W5-4,CG,4,3,2,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,.258,.378,.504,.882,4,.96,0.134,0.77,18.00,24.90,CF RF
68,495,77,Jun 22,NYM,@,CHC,W10-2,CG,5,5,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.257,.375,.498,.873,5,.32,-0.022,-0.30,7.00,9.70,RF
69,496,78,Jun 23,NYM,@,CHC,L3-5,8-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.256,.374,.496,.870,3,1.25,-0.031,-0.31,0.00,0.00,PH RF
70,497,79,Jun 24,NYM,@,PHI,L7-13,CG,5,4,2,3,1,0,1,2,1,0,0,0,0,0,0,0,0,0,.264,.381,.516,.897,4,.83,0.243,2.45,28.00,37.40,CF
71,498,80,Jun 25,NYM,@,PHI,L5-7,CG,5,4,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,.260,.375,.508,.882,4,1.68,-0.197,-1.88,2.00,3.50,CF
72,499,81,Jun 26,NYM,@,PHI,L4-5,CG(10),5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.255,.369,.498,.867,4,1.20,-0.168,-1.65,0.00,0.00,CF RF
73,500,82,Jun 27,NYM,@,PHI,L3-6,CG,4,3,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.256,.370,.496,.866,3,1.24,0.074,0.12,7.00,9.20,CF RF
74,501,83,Jun 28,NYM,,ATL,L2-6,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.252,.366,.489,.854,4,1.21,-0.121,-1.10,0.00,0.00,CF
75,502,84,Jun 29,NYM,,ATL,L4-5,CG,5,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.248,.363,.481,.845,4,2.43,-0.257,-1.14,2.00,3.00,CF
76,503,85,Jun 30,NYM,,ATL,W8-5,7-GF,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.247,.364,.480,.844,9,3.70,-0.012,-0.06,4.00,6.20,CF
77,504,86,Jul 2,NYM,,NYY,W4-2,CG,4,4,0,1,1,0,0,2,0,0,1,0,0,0,0,2,0,0,.247,.363,.480,.843,7,2.91,-0.092,-0.19,9.00,13.00,CF RF
78,505,87,Jul 3,NYM,,NYY,L1-5,CG,4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.247,.361,.477,.838,4,.59,-0.037,-0.43,3.00,3.00,CF
79,506,88,Jul 5,NYM,,PHI,L2-7,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.244,.357,.470,.827,4,1.11,-0.110,-0.91,0.00,0.00,CF
80,507,89,Jul 6,NYM,,PHI,W6-5,CG,4,4,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,.244,.356,.470,.826,4,1.68,-0.014,0.13,7.00,9.50,CF
81,508,90,Jul 7,NYM,,PHI,L3-8,7-GF,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,.244,.359,.470,.830,9,.27,0.018,0.34,4.00,6.00,RF
82,509,91,Jul 12,NYM,@,MIA,L4-8,CG,4,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.241,.358,.466,.824,7,.64,-0.020,-0.31,2.00,3.00,CF
83,510,92,Jul 13,NYM,@,MIA,W4-2,CG,5,4,1,1,0,0,1,2,1,0,1,0,0,0,0,0,0,0,.241,.359,.473,.832,2,1.13,0.110,1.00,18.00,25.20,CF RF
84,511,93,Jul 14,NYM,@,MIA,W6-2,CG,5,5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.241,.357,.468,.825,2,1.08,0.040,-0.28,5.00,6.50,CF RF
85,512,94,Jul 16,NYM,@,MIN,W3-2,CG,4,4,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.251,.364,.475,.839,2,1.27,0.282,2.69,16.00,18.70,CF RF
86,513,95,Jul 17,NYM,@,MIN,W14-4,CG,5,5,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.250,.361,.471,.832,7,1.04,-0.144,-0.64,5.00,6.20,CF RF
87,514,96,Jul 18,NYM,@,SFG,L2-3,10-GF(16),3,3,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.254,.364,.473,.837,9,3.60,-0.042,-0.16,6.00,6.00,PH CF
88,515,97,Jul 19,NYM,@,SFG,L0-1,CG(10),4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.251,.360,.467,.827,2,1.52,-0.153,-1.11,0.00,0.00,CF
89,516,98,Jul 20,NYM,@,SFG,W11-4,CG,5,4,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,.251,.361,.464,.824,2,.57,0.052,0.46,5.00,6.00,CF RF
90,517,99,Jul 21,NYM,@,SFG,L2-3,CG(12),5,5,1,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,.250,.358,.469,.828,5,1.59,-0.075,0.09,14.00,18.70,CF RF
91,518,100,Jul 23,NYM,,SDP,W5-2,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.247,.355,.463,.818,2,.72,-0.072,-0.82,0.00,0.00,CF RF
92,519,101,Jul 24,NYM,,SDP,L2-7,CG,4,4,1,2,1,0,0,1,0,0,2,0,0,0,0,0,0,0,.250,.356,.467,.823,2,1.86,0.012,0.82,12.00,15.70,CF
93,520,102,Jul 25,NYM,,SDP,W4-0,CG,4,4,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,1,.256,.360,.470,.830,7,.38,0.057,1.06,11.00,12.50,RF
94,521,103,Jul 26,NYM,,PIT,W6-3,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.253,.357,.465,.821,2,.50,-0.049,-0.77,0.00,0.00,CF RF
95,522,104,Jul 27,NYM,,PIT,W3-0,CG,4,3,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,.254,.358,.472,.830,2,.69,0.179,0.87,16.00,21.70,CF RF
96,523,105,Jul 28,NYM,,PIT,W8-7,CG,5,4,1,1,0,0,1,2,1,0,1,0,0,0,1,0,0,0,.254,.359,.478,.837,2,.51,0.189,2.58,18.00,25.20,CF RF
97,524,106,Jul 30,NYM,@,CHW,W5-2,CG(11),6,5,2,3,1,0,1,1,1,0,0,0,0,0,0,1,0,0,.259,.363,.491,.854,2,.76,0.142,1.86,26.00,33.90,CF RF
98,525,107,Jul 31,NYM,@,CHW,W4-2,CG,5,3,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,.259,.366,.490,.856,2,1.38,0.137,1.90,13.00,19.20,CF RF
99,526,108,Aug 1,NYM,@,CHW,W4-0,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.256,.362,.485,.847,2,.90,-0.046,-0.90,0.00,0.00,CF RF
100,527,109,Aug 2,NYM,@,PIT,L4-8,CG,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.255,.360,.481,.841,2,.56,-0.051,-0.82,5.00,6.20,CF
101,528,110,Aug 3,NYM,@,PIT,W7-5,CG,5,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,.253,.361,.477,.838,2,1.37,-0.006,0.07,4.00,6.00,CF RF
102,529,111,Aug 4,NYM,@,PIT,W13-2,GS-6,4,4,2,2,1,0,1,1,0,0,1,0,0,0,0,0,0,0,.256,.362,.488,.850,2,.37,0.086,0.82,21.00,27.90,CF RF
103,530,112,Aug 5 (1),NYM,,MIA,W6-2,CG,4,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,.255,.363,.485,.849,3,.47,0.030,0.77,6.00,9.20,RF
104,531,113,Aug 5 (2),NYM,,MIA,W5-4,CG,4,3,1,2,0,0,1,3,1,0,0,0,0,0,0,0,0,0,.258,.367,.495,.862,3,1.11,0.308,1.96,23.00,31.70,RF
105,532,115 (1),Aug 7,NYM,,MIA,W7-2,CG,4,3,3,2,0,0,2,3,1,0,0,0,0,0,0,0,0,0,.261,.370,.512,.882,3,.53,0.184,2.68,34.00,47.10,CF RF
106,533,116,Aug 9,NYM,,WSN,W7-6,CG,5,5,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,.263,.371,.510,.881,3,2.23,0.425,1.30,13.00,15.50,CF
107,534,117,Aug 10,NYM,,WSN,W4-3,CG,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.264,.370,.509,.879,6,.69,-0.028,-0.13,3.00,3.00,RF
108,535,118,Aug 11,NYM,,WSN,L4-7,CG,5,4,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,.261,.366,.504,.870,3,1.32,-0.149,-1.04,2.00,3.50,CF
109,536,119,Aug 13,NYM,@,ATL,L3-5,CG,4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,.258,.363,.499,.862,6,1.09,-0.136,-1.34,4.00,6.70,RF
110,537,120,Aug 14,NYM,@,ATL,L4-6,CG,5,4,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,.256,.362,.494,.855,5,2.26,-0.223,-1.70,2.00,3.00,RF
111,538,121,Aug 15,NYM,@,ATL,W10-8,CG,6,5,0,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,.257,.363,.493,.856,4,.35,0.055,0.60,10.00,12.50,RF
112,539,122,Aug 16,NYM,@,KCR,L1-4,CG,4,3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.258,.364,.491,.856,4,1.89,0.023,0.76,7.00,9.50,RF
113,540,123,Aug 17,NYM,@,KCR,W4-1,CG,5,3,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,.256,.365,.488,.853,4,1.08,-0.058,-0.58,4.00,6.00,RF
