Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,RE24,DFS(DK),DFS(FD),Pos
1,166,2 (1),Apr 5,NYM,,ATL,L1-3,8-9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,9,2.37,-0.056,-0.29,0.00,0.00,PH
2,167,3,Apr 6,NYM,,ATL,W6-2,7-8,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000,.500,.000,.500,9,.30,0.011,0.26,4.00,6.20,PH
3,168,4,Apr 7,NYM,,MIA,L2-7,7-8,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.500,.667,.500,1.167,9,.15,0.006,0.26,3.00,3.00,PH
4,169,5,Apr 8,NYM,,MIA,L1-8,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333,.500,.333,.833,4,.03,-0.001,-0.23,0.00,0.00,PH
5,170,6,Apr 9,NYM,,MIA,W5-2,CG,4,3,1,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,.333,.500,.833,1.333,7,.75,0.105,1.55,18.00,25.20,CF
6,171,8 (1),Apr 11,NYM,@,PHI,W14-4,8-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.333,.500,.833,1.333,2,,,,0.00,0.00,LF
7,172,9,Apr 12,NYM,@,PHI,W5-4,CG,5,4,3,2,0,0,1,1,1,0,2,0,0,0,0,0,0,0,.400,.538,1.000,1.538,1,.89,0.147,1.76,23.00,31.10,CF
8,173,10,Apr 13,NYM,@,MIA,W9-8,8-10,2,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.417,.533,1.000,1.533,9,3.22,0.193,0.71,7.00,9.50,PH CF
9,174,11,Apr 14,NYM,@,MIA,L2-3,CG,4,3,0,1,0,0,0,1,0,0,2,0,0,1,0,0,0,0,.400,.474,.867,1.340,5,1.70,-0.073,-0.55,5.00,6.50,LF
10,175,12,Apr 15,NYM,@,MIA,L4-5,7-GF,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,.375,.429,.813,1.241,7,1.52,-0.031,-0.23,2.00,3.50,PH CF
11,176,13,Apr 16,NYM,@,MIA,L2-4,8-8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.353,.409,.765,1.174,9,1.40,-0.035,-0.22,0.00,0.00,PH
12,177,14,Apr 18,NYM,,PHI,L2-6,CG(10),5,4,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.286,.370,.619,.989,1,.61,-0.017,-0.33,4.00,6.20,CF RF
13,178,16 (1),Apr 20,NYM,,PHI,L4-6,CG,4,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.320,.387,.600,.987,6,.81,0.006,0.00,6.00,6.00,CF LF
14,179,17,Apr 21,NYM,,WSN,L3-4,CG(11),5,4,1,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,.345,.417,.690,1.106,1,1.85,0.055,0.91,19.00,24.70,LF
15,180,18,Apr 22,NYM,,WSN,L1-3,CG,4,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.313,.400,.625,1.025,2,1.12,-0.075,-0.52,2.00,3.00,LF
16,181,19,Apr 23,NYM,,WSN,L3-6,CG,4,4,2,3,0,0,1,1,0,0,1,0,0,0,0,0,0,0,.361,.432,.722,1.154,1,.80,0.133,1.48,22.00,27.90,LF
17,182,20,Apr 26,NYM,,ATL,L2-8,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.325,.396,.650,1.046,1,.43,-0.043,-0.91,0.00,0.00,CF
18,183,21,Apr 27,NYM,,ATL,L5-7,CG,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.302,.385,.605,.989,1,.66,-0.040,-0.42,2.00,3.00,CF LF
19,184,22,Apr 28,NYM,@,WSN,W7-5,CG,5,4,0,1,0,0,0,1,1,0,3,0,0,0,0,0,0,0,.298,.386,.574,.960,1,.78,-0.005,0.58,7.00,9.50,LF
20,185,23,Apr 29,NYM,@,WSN,W5-3,CG,4,4,2,3,0,0,2,3,0,0,0,0,0,0,0,0,1,0,.333,.410,.706,1.116,1,1.07,0.386,3.04,38.00,49.90,LF
21,186,24,Apr 30,NYM,@,WSN,L5-23,CG,5,5,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,.321,.394,.661,1.055,1,.57,0.049,-0.15,5.00,6.50,LF
22,187,25,May 1,NYM,@,ATL,W7-5,CG,5,4,1,2,0,0,1,3,1,1,1,0,0,0,0,0,0,0,.333,.408,.700,1.108,1,.88,0.156,2.55,23.00,31.70,LF
23,188,26,May 2,NYM,@,ATL,L7-9,CG,5,4,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.344,.421,.688,1.109,1,.98,0.038,1.00,12.00,15.40,LF
24,189,27,May 3,NYM,@,ATL,W16-5,CG,6,6,1,3,2,0,0,2,0,0,1,0,0,0,0,0,0,0,.357,.427,.700,1.127,1,.36,0.034,2.10,19.00,25.20,LF
25,190,28,May 5,NYM,,MIA,W8-7,CG,5,4,1,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.351,.425,.676,1.101,1,1.33,0.100,0.49,7.00,9.20,LF
26,191,29,May 6,NYM,,MIA,W11-3,CG,5,2,1,0,0,0,0,2,3,1,0,0,0,0,1,0,0,0,.342,.435,.658,1.093,1,.56,0.097,2.39,12.00,19.20,LF
27,192,30,May 7,NYM,,MIA,L0-7,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.325,.417,.625,1.042,1,.37,-0.036,-0.76,0.00,0.00,LF
28,193,31,May 8,NYM,,SFG,W4-3,CG,5,3,2,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,.325,.426,.614,1.040,1,1.71,0.107,0.73,11.00,15.40,LF
29,194,32,May 9,NYM,,SFG,W6-1,CG,5,5,2,2,1,0,1,1,0,0,1,0,0,0,0,0,0,0,.330,.425,.648,1.072,1,.32,-0.002,0.14,21.00,27.90,LF
30,195,33,May 10,NYM,,SFG,L5-6,8-9,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.337,.430,.652,1.082,9,.28,0.007,0.12,3.00,3.00,PH
31,196,34,May 12,NYM,@,MIL,L4-7,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.323,.414,.624,1.038,1,.63,-0.065,-0.69,0.00,0.00,LF
32,197,35,May 13,NYM,@,MIL,L4-11,CG,5,5,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.327,.414,.622,1.036,1,.86,-0.100,-1.13,8.00,9.00,LF CF
33,198,36,May 14,NYM,@,MIL,L9-11,CG,5,4,4,3,1,1,1,3,1,0,0,0,0,0,0,0,0,0,.343,.430,.686,1.116,3,.81,0.257,3.77,39.00,53.30,LF RF
34,199,37,May 15,NYM,@,ARI,L3-7,CG,5,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.327,.413,.654,1.067,1,.98,-0.071,-0.70,0.00,0.00,LF
35,200,38,May 16,NYM,@,ARI,L4-5,CG,4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.315,.400,.631,1.031,1,1.27,-0.133,-1.37,0.00,0.00,LF
36,201,39,May 17,NYM,@,ARI,L4-5,CG(11),5,5,1,1,0,0,1,2,0,0,2,0,0,0,0,0,0,0,.310,.393,.638,1.031,2,1.50,-0.060,0.30,16.00,22.20,LF
37,202,40,May 19,NYM,,LAA,W3-0,CG,4,3,2,2,0,0,1,1,1,0,1,0,0,0,0,0,0,0,.319,.403,.664,1.067,1,.73,0.082,1.32,21.00,27.90,LF
38,203,41,May 20,NYM,,LAA,W7-5,CG,5,2,3,1,1,0,0,0,3,1,0,0,0,0,0,0,0,0,.322,.417,.669,1.086,1,.54,0.102,1.45,17.00,24.60,LF
39,204,42,May 21,NYM,,LAA,L5-12,CG,4,4,1,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,.320,.412,.664,1.076,1,.19,-0.010,-0.02,7.00,9.20,LF
40,205,43,May 23,NYM,,SDP,W9-3,CG,5,4,2,3,0,0,2,4,0,0,0,1,0,0,0,0,0,0,.333,.425,.713,1.138,1,.32,0.166,3.60,37.00,50.40,LF
41,206,44,May 24,NYM,,SDP,L5-6,CG,5,3,1,2,0,0,0,1,2,0,1,0,0,0,0,0,0,0,.341,.437,.712,1.149,1,1.25,0.027,1.23,14.00,18.70,LF
42,207,45,May 25,NYM,,SDP,L3-4,CG,5,5,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,.336,.429,.693,1.123,1,2.03,-0.070,-0.68,3.00,3.00,LF
43,208,46,May 26,NYM,@,PIT,W8-1,CG,5,4,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.326,.423,.674,1.096,1,.59,-0.063,-1.13,4.00,6.20,LF
44,209,47,May 27,NYM,@,PIT,L4-5,CG(10),5,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.322,.416,.658,1.074,1,.70,0.007,0.08,3.00,3.00,LF
