Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,RE24,DFS(DK),DFS(FD),Pos
36,310,45,May 23,NYM,,MIA,L1-2,CG,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.221,.338,.352,.690,3,.70,-0.042,-0.45,2.00,3.00,CF
37,311,46,May 24,NYM,@,MIL,W5-0,CG,5,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.222,.340,.349,.689,5,.56,0.006,-0.22,7.00,9.20,CF
38,312,47,May 25,NYM,@,MIL,L3-4,CG(10),4,3,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,.225,.344,.372,.716,5,1.20,0.081,0.66,18.00,24.90,CF
39,313,48,May 26,NYM,@,MIL,L6-17,CG,5,5,1,2,0,0,1,1,0,0,3,0,0,0,0,0,0,0,.231,.346,.396,.741,5,.86,0.080,-0.19,17.00,21.70,CF
40,314,49,May 27,NYM,@,MIL,L7-8,CG,5,4,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,.232,.348,.399,.746,2,1.46,-0.040,0.37,9.00,12.20,CF
41,315,50,May 28 (1),NYM,@,ATL,L3-4,CG,4,3,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,.227,.345,.390,.735,3,1.11,-0.158,-1.73,2.00,3.00,CF
42,316,51,May 28 (2),NYM,@,ATL,W8-5,CG,5,4,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.241,.358,.400,.758,2,.79,0.095,1.12,13.00,15.20,CF
43,317,52,May 29,NYM,@,ATL,L6-7,CG,5,4,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.242,.360,.396,.756,4,1.49,-0.178,-0.84,5.00,6.00,CF
44,318,53,May 30,NYM,@,ATL,W4-1,9-9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.240,.358,.393,.751,8,.28,-0.007,-0.23,0.00,0.00,PH
45,319,54,May 31,NYM,,CHC,L1-5,CG,4,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.242,.361,.392,.753,4,1.22,-0.102,-0.79,5.00,6.00,CF
46,320,55,Jun 1,NYM,,CHC,L4-7,CG,4,3,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,.237,.358,.385,.743,3,.77,-0.042,-0.38,2.00,3.00,CF
47,321,56,Jun 2,NYM,,CHC,L1-7,CG(14),6,5,1,1,0,0,1,1,1,1,2,0,0,0,0,0,0,0,.236,.358,.398,.755,4,1.71,0.070,0.28,16.00,21.70,CF
48,322,57,Jun 3,NYM,,CHC,L0-2,CG,4,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.238,.360,.396,.757,5,1.69,0.056,0.04,5.00,6.00,CF
49,323,58,Jun 5,NYM,,BAL,L1-2,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.232,.353,.387,.740,3,1.30,-0.128,-0.54,0.00,0.00,CF
50,324,59,Jun 6,NYM,,BAL,L0-1,CG,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.228,.351,.380,.731,3,.94,-0.086,-0.49,2.00,3.00,CF
51,325,60,Jun 8,NYM,,NYY,L1-4,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.223,.344,.371,.716,3,1.40,-0.128,-0.99,0.00,0.00,CF
52,326,61,Jun 9,NYM,,NYY,L3-4,GS-9,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.219,.340,.365,.705,6,.47,-0.035,-0.39,0.00,0.00,CF
53,327,62,Jun 10,NYM,,NYY,W2-0,CG,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.215,.335,.359,.694,6,1.03,-0.072,-0.82,0.00,0.00,CF
54,328,63,Jun 12,NYM,@,ATL,L2-8,CG,4,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,.212,.333,.353,.687,1,.73,-0.016,-0.18,2.00,3.00,CF
55,329,64,Jun 13,NYM,@,ATL,L0-2,CG,4,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.214,.336,.353,.689,1,1.49,0.118,0.42,5.00,6.00,CF
56,330,65,Jun 14,NYM,@,ARI,L3-6,CG,4,3,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,.216,.339,.368,.708,1,1.51,0.031,0.53,16.00,21.70,CF
57,331,66,Jun 15,NYM,@,ARI,L3-7,CG,5,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,.212,.341,.363,.703,1,.95,0.041,-0.08,4.00,6.00,CF
58,332,67,Jun 16,NYM,@,ARI,W5-1,CG,4,4,1,2,1,0,1,4,0,0,0,0,0,0,0,0,0,0,.218,.343,.386,.729,7,.77,0.248,2.88,25.00,35.20,CF
59,333,68,Jun 17,NYM,@,ARI,W5-3,CG,5,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,.215,.344,.380,.724,3,1.38,-0.124,-0.61,4.00,6.00,CF
60,334,69,Jun 18,NYM,@,COL,W12-2,CG,5,4,2,3,2,0,0,0,1,1,0,0,0,0,0,0,1,0,.225,.354,.397,.751,5,.64,0.140,2.00,24.00,30.40,CF
61,335,70,Jun 19,NYM,@,COL,L8-10,CG,5,4,0,1,0,0,0,1,0,0,2,0,0,1,0,0,0,0,.226,.351,.394,.745,3,1.10,-0.041,-0.68,5.00,6.50,CF
62,336,71,Jun 20,NYM,@,COL,L8-10,CG,5,4,1,1,0,0,0,1,1,0,2,0,0,0,0,0,0,0,.226,.352,.392,.743,3,.99,0.029,0.44,9.00,12.70,CF
63,337,72,Jun 21,NYM,@,COL,L4-6,CG,4,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.231,.354,.394,.747,3,1.05,0.104,0.90,6.00,6.00,CF
64,338,73,Jun 22,NYM,,LAD,L2-5,CG,4,4,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,.232,.352,.391,.743,5,1.19,0.064,0.29,5.00,6.20,CF
65,339,74,Jun 23,NYM,,LAD,L3-8,CG,4,4,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.232,.351,.393,.744,5,1.41,-0.090,-0.77,7.00,9.20,CF
66,340,75,Jun 24,NYM,,LAD,L7-8,7-GF(11),3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.233,.351,.392,.743,1,2.77,0.036,-0.09,3.00,3.00,CF
67,341,76,Jun 25,NYM,,PIT,L4-6,CG,5,3,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,.230,.351,.387,.738,1,1.06,0.057,0.25,4.00,6.00,CF
68,342,77,Jun 26,NYM,,PIT,W4-3,CG(10),5,3,2,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,.232,.356,.399,.755,2,1.20,0.305,1.26,20.00,27.90,CF
69,343,78,Jun 27,NYM,,PIT,L3-5,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.228,.351,.392,.743,5,.83,-0.082,-0.78,0.00,0.00,LF
70,344,79,Jun 29,NYM,@,MIA,L2-8,CG,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.225,.349,.388,.737,4,.51,-0.018,-0.16,2.00,3.00,LF
71,345,80,Jun 30,NYM,@,MIA,L2-5,CG,4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.225,.348,.385,.733,4,.48,-0.028,-0.28,3.00,3.00,LF
72,346,81,Jul 1,NYM,@,MIA,W5-2,CG,4,3,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,.223,.347,.381,.727,4,.57,-0.038,-0.53,2.00,3.00,LF
73,347,82,Jul 3,NYM,@,TOR,L6-8,CG,5,5,0,1,1,0,0,1,0,0,2,0,0,0,0,1,0,0,.222,.344,.381,.725,4,.92,-0.088,-0.40,7.00,9.50,LF
74,348,83,Jul 4,NYM,@,TOR,W6-3,CG,4,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,.224,.346,.380,.727,4,.77,0.065,0.78,7.00,9.50,LF
75,349,84,Jul 6,NYM,,TBR,W5-1,CG,4,4,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.224,.345,.378,.724,4,1.55,-0.063,-0.55,3.00,3.00,LF
76,350,85,Jul 7,NYM,,TBR,L0-3,CG,4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.224,.344,.376,.720,4,.74,-0.022,-0.05,3.00,3.00,LF
77,351,86,Jul 8,NYM,,TBR,L0-9,CG,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.223,.344,.374,.717,4,.39,-0.027,-0.05,2.00,3.00,RF
78,352,87,Jul 9 (1),NYM,,PHI,W4-3,CG(10),4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.219,.340,.368,.708,4,1.17,-0.117,-0.74,0.00,0.00,LF
79,353,88,Jul 9 (2),NYM,,PHI,L1-3,CG,4,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,.218,.342,.365,.707,4,.81,0.024,-0.06,4.00,6.00,LF
80,354,89,Jul 10,NYM,,PHI,L3-7,7-8,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.217,.340,.364,.704,9,.49,-0.005,0.19,2.00,3.50,PH
81,355,90,Jul 11,NYM,,PHI,W3-0,CG(10),4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.215,.339,.360,.699,1,1.52,-0.115,-0.71,2.00,3.00,LF
82,356,91,Jul 12,NYM,,WSN,L4-5,CG,4,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.216,.341,.360,.701,4,1.42,0.117,0.56,5.00,6.00,LF
83,357,92,Jul 13,NYM,,WSN,W4-2,CG,4,3,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.217,.343,.359,.703,4,.66,-0.012,0.05,7.00,9.20,LF
84,358,93,Jul 14,NYM,,WSN,W7-4,CG,4,3,1,1,0,0,1,3,0,0,0,1,0,0,0,0,0,0,.218,.345,.370,.715,4,.63,0.024,2.12,20.00,28.70,LF
85,359,94,Jul 15,NYM,,WSN,L1-6,CG,4,3,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,.216,.344,.366,.710,4,.98,-0.059,-0.59,4.00,6.20,LF
86,360,95,Jul 20,NYM,@,NYY,W7-5,CG,5,4,1,2,1,0,0,3,0,0,0,0,0,1,0,0,0,0,.220,.345,.371,.716,5,.76,0.162,1.81,16.00,22.70,LF
87,361,96,Jul 21,NYM,@,NYY,L6-7,CG,4,3,2,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,.221,.346,.381,.727,4,.83,0.088,0.80,18.00,24.90,LF
88,362,97,Jul 23,NYM,,SDP,L2-3,CG,4,3,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.226,.351,.384,.735,5,1.43,0.096,1.05,8.00,9.00,LF
89,363,98,Jul 24,NYM,,SDP,W6-3,CG,4,4,2,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,.229,.353,.395,.748,5,.72,0.192,1.73,21.00,28.40,LF
90,364,99,Jul 25,NYM,,SDP,W6-4,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.226,.349,.390,.739,5,.78,-0.050,-0.62,0.00,0.00,LF
91,365,100,Jul 26,NYM,@,PIT,W12-6,CG,6,5,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,.226,.349,.390,.739,3,.43,0.007,-0.28,9.00,12.20,LF
92,366,101,Jul 27,NYM,@,PIT,L4-5,CG,4,3,2,2,0,0,1,3,1,0,1,0,0,0,0,0,0,0,.230,.353,.403,.755,4,1.51,0.274,2.32,25.00,34.90,LF
93,367,102,Jul 28,NYM,@,PIT,L0-5,CG,4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.230,.352,.401,.752,4,.89,-0.038,-0.34,3.00,3.00,LF
94,368,103,Jul 29,NYM,@,PIT,W1-0,7-7,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,.230,.353,.401,.754,9,2.11,0.012,0.17,2.00,3.00,PH
95,369,104,Jul 31,NYM,@,WSN,L4-25,CG,4,4,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.231,.352,.402,.754,4,.29,-0.033,-0.11,7.00,9.20,LF
96,370,105,Aug 1,NYM,@,WSN,L3-5,CG,4,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.231,.351,.403,.754,4,.97,-0.014,-0.23,5.00,6.00,LF
97,371,106,Aug 2,NYM,,ATL,L2-4,CG,4,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.229,.350,.399,.750,3,1.04,-0.046,-0.41,2.00,3.00,LF
98,372,107,Aug 3,NYM,,ATL,L1-2,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.226,.347,.395,.741,3,1.72,-0.165,-0.91,0.00,0.00,LF
99,373,108,Aug 4,NYM,,ATL,W3-0,CG,4,4,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.229,.348,.396,.744,3,.50,0.036,0.38,8.00,9.20,LF
100,374,109,Aug 5,NYM,,ATL,L4-5,CG(10),5,5,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.232,.349,.396,.745,4,1.65,0.023,0.49,6.00,6.00,LF
101,375,110,Aug 6,NYM,,CIN,W6-4,CG,4,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.235,.350,.397,.747,4,.58,-0.031,-0.25,6.00,6.00,LF
102,376,111,Aug 7,NYM,,CIN,L1-6,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.232,.347,.393,.740,4,.42,-0.041,-0.66,0.00,0.00,LF
103,377,112,Aug 8,NYM,,CIN,W8-0,CG,5,3,3,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,.233,.350,.395,.745,4,.52,0.017,0.40,15.00,21.60,LF
104,378,113,Aug 10,NYM,@,MIA,W6-2,CG,5,4,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,.233,.351,.393,.744,4,.79,0.126,0.67,9.00,12.70,LF
105,379,114,Aug 11,NYM,@,MIA,L3-4,CG(11),5,2,1,1,0,0,0,0,3,1,1,0,0,0,0,0,0,0,.235,.356,.394,.750,4,1.76,0.099,0.68,11.00,15.20,LF
106,380,115,Aug 12,NYM,@,MIA,W4-3,CG,4,4,1,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,.235,.355,.401,.755,4,.59,0.086,0.51,14.00,18.70,LF
107,381,116,Aug 13,NYM,@,NYY,W8-5,CG,5,4,2,2,0,0,1,1,0,0,2,1,0,0,0,0,0,1,.238,.358,.410,.767,3,.86,-0.026,0.19,21.00,27.90,LF
108,382,117,Aug 14,NYM,@,BAL,L3-6,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.235,.354,.405,.760,3,.95,-0.094,-0.80,0.00,0.00,DH
109,383,118,Aug 15,NYM,@,BAL,W16-5,CG,6,5,1,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,.235,.354,.403,.757,4,.55,-0.103,-0.97,7.00,9.20,LF
110,384,119,Aug 16 (1),NYM,@,PHI,W24-4,CG,7,7,3,3,1,0,1,1,0,0,1,0,0,0,1,0,0,0,.238,.355,.414,.769,4,.58,0.111,1.42,26.00,34.10,LF
111,385,120,Aug 16 (2),NYM,@,PHI,L6-9,CG,5,5,0,3,1,0,0,4,0,0,0,0,0,0,0,0,0,0,.243,.358,.419,.777,3,.57,0.117,2.47,19.00,26.00,LF
112,386,121,Aug 17,NYM,@,PHI,L2-4,CG,4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.240,.355,.414,.769,4,1.40,-0.158,-1.50,0.00,0.00,RF
113,387,122,Aug 18,NYM,@,PHI,W3-1,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.238,.352,.410,.762,4,1.03,-0.100,-1.11,0.00,0.00,LF
114,388,123,Aug 19,NYM,@,PHI,W8-2,CG,5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.235,.348,.405,.753,4,.25,-0.033,-0.80,0.00,0.00,LF
115,389,124,Aug 20,NYM,,SFG,L1-2,7-GF(13),3,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.236,.350,.405,.756,9,1.66,0.109,0.63,5.00,6.00,PH LF RF
116,390,125,Aug 21,NYM,,SFG,W6-3,CG,4,3,1,1,0,0,1,4,0,0,1,0,0,1,0,1,0,0,.237,.349,.412,.762,4,1.69,-0.061,1.47,20.00,29.20,LF
117,391,126,Aug 22,NYM,,SFG,W5-3,CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.237,.348,.411,.759,4,.85,-0.090,-1.15,3.00,3.00,LF
118,392,127,Aug 23,NYM,,SFG,L1-3,CG,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.235,.346,.408,.754,8,1.69,-0.130,-0.69,0.00,0.00,LF
119,393,128,Aug 24,NYM,,WSN,W3-0,7-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.235,.346,.407,.752,9,.51,-0.012,-0.14,0.00,0.00,LF
120,394,129,Aug 25,NYM,,WSN,W3-0,CG,4,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.235,.345,.405,.750,3,.79,-0.040,0.31,5.00,6.50,CF LF
121,395,130,Aug 26,NYM,,WSN,L0-15,CG,4,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.233,.344,.402,.746,3,.92,-0.044,-0.42,2.00,3.00,LF
122,396,131,Aug 27,NYM,@,CHC,L4-7,CG,4,3,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,.234,.345,.409,.754,5,.75,0.120,1.00,16.00,21.70,LF
123,397,132,Aug 28 susp,NYM,@,CHC,L1-2,CG(11),5,4,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1,.232,.344,.405,.749,4,2.42,-0.262,-2.33,2.00,3.00,LF
124,398,133,Aug 29,NYM,@,CHC,W10-3,CG,5,3,2,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,.233,.346,.405,.751,5,.67,-0.008,-0.05,11.00,15.40,LF
125,399,134,Aug 31,NYM,@,SFG,L0-7,8-8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.232,.346,.404,.749,9,2.93,-0.081,-0.30,0.00,0.00,PH
126,400,135,Sep 1,NYM,@,SFG,W2-1,CG(11),5,5,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.232,.344,.401,.746,5,1.18,-0.150,-0.91,3.00,3.00,LF
127,401,136,Sep 2,NYM,@,SFG,W4-1,CG,4,4,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,.232,.344,.407,.750,5,.83,0.124,0.88,16.00,22.20,LF
128,402,137,Sep 3,NYM,@,LAD,W4-2,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.230,.341,.403,.744,4,1.23,-0.119,-0.81,0.00,0.00,LF
129,403,138,Sep 4,NYM,@,LAD,L4-11,CG,5,5,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,.229,.340,.408,.747,4,.54,0.090,0.40,16.00,22.20,LF
130,404,139,Sep 5,NYM,@,LAD,W7-3,CG,4,4,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.232,.341,.408,.749,5,.91,0.080,1.48,8.00,9.50,LF
131,405,140,Sep 7,NYM,,PHI,L3-4,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.230,.338,.405,.743,3,1.57,-0.157,-0.78,0.00,0.00,LF
132,406,141,Sep 8,NYM,,PHI,W10-5,CG,5,5,2,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,.232,.339,.411,.750,3,.25,-0.028,0.44,19.00,24.90,RF LF
