Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,RE24,DFS(DK),DFS(FD),Pos
1,275,6 (5),Apr 5,NYM,@,WSN,W8-2,CG,5,4,2,1,0,0,1,2,1,0,2,0,0,0,0,1,0,0,.250,.400,1.000,1.400,1,.99,0.147,0.82,20.00,28.40,CF
2,276,7,Apr 7,NYM,@,WSN,W3-2,7-7,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,.250,.500,1.000,1.500,3,2.59,0.024,0.25,2.00,3.00,PH
3,277,8,Apr 8,NYM,@,WSN,W6-5,CG(12),6,5,0,1,1,0,0,0,1,1,2,0,0,0,0,0,0,0,.222,.417,.667,1.083,1,1.30,-0.066,-0.38,7.00,9.00,CF
4,278,9,Apr 9,NYM,@,MIA,W4-2,CG,4,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,.250,.438,.583,1.021,1,.83,-0.038,-0.37,5.00,6.00,CF
5,279,10,Apr 10,NYM,@,MIA,W8-6,CG,5,4,2,2,0,0,0,1,1,0,2,0,0,0,0,0,0,0,.313,.476,.563,1.039,1,1.35,0.139,1.23,14.00,18.90,RF
6,280,11,Apr 11,NYM,@,MIA,W4-1,8-GF,2,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.333,.478,.611,1.089,8,1.49,0.211,0.72,7.00,9.20,PH CF
7,281,12,Apr 13,NYM,,MIL,W6-5,CG,4,3,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.286,.444,.524,.968,1,.81,-0.029,-0.45,4.00,6.20,CF
8,282,13,Apr 14,NYM,,MIL,L1-5,CG,4,3,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,.250,.419,.458,.878,1,.56,-0.026,-0.27,4.00,6.20,CF
9,283,14,Apr 15,NYM,,MIL,W3-2,CG,5,4,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,.250,.417,.429,.845,2,1.18,0.041,0.79,5.00,6.00,CF
10,284,15,Apr 16,NYM,,WSN,L6-8,CG,5,4,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,.250,.415,.438,.852,3,.67,0.025,0.01,9.00,12.20,LF
11,285,16,Apr 17,NYM,,WSN,L2-5,8-9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.250,.429,.438,.866,8,.26,0.012,0.12,2.00,3.00,PH
12,286,17,Apr 18,NYM,,WSN,W11-5,CG,5,4,2,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,.250,.426,.417,.842,1,1.00,0.037,0.80,11.00,15.90,CF
13,287,18,Apr 19,NYM,@,ATL,L4-12,CG,4,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.231,.412,.385,.796,1,.38,-0.033,0.04,2.00,3.00,CF LF
14,288,19,Apr 20,NYM,@,ATL,W5-3,CG(12),6,4,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,.209,.386,.349,.735,1,1.71,-0.164,-0.68,4.00,6.50,CF
15,289,20,Apr 21,NYM,@,ATL,L3-4,CG,5,4,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,.213,.387,.340,.728,1,1.51,0.062,0.48,12.00,15.20,CF
16,290,21,Apr 24,NYM,@,STL,W6-5,CG(10),5,2,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,.204,.403,.327,.730,1,1.12,0.038,0.46,8.00,12.20,CF
17,291,22,Apr 25,NYM,@,STL,L1-9,CG,4,4,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,.208,.394,.321,.715,1,.65,-0.050,-1.13,5.00,6.20,CF LF
18,292,23,Apr 26,NYM,@,STL,L3-4,9-9,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.222,.403,.333,.736,7,2.28,0.082,0.38,3.00,3.00,PH
19,293,24,Apr 27,NYM,@,SDP,W5-1,CG,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.211,.395,.316,.711,5,.60,-0.022,-0.32,2.00,3.00,RF
20,294,26 (1),Apr 29,NYM,@,SDP,W14-2,CG,6,6,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,.222,.390,.317,.708,2,.51,-0.075,0.22,8.00,9.50,CF
21,295,27,May 1,NYM,,ATL,L2-3,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.209,.372,.299,.671,2,1.22,-0.111,-0.78,0.00,0.00,CF
22,296,29 (1),May 3,NYM,,ATL,L0-11,CG,4,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.200,.367,.286,.652,5,.22,-0.021,-0.69,2.00,3.00,CF LF
23,297,30,May 4,NYM,,COL,L7-8,CG,5,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,.187,.347,.267,.614,6,2.02,-0.279,-1.47,0.00,0.00,CF
24,298,32 (1),May 6,NYM,,COL,L2-3,7-8,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.184,.344,.263,.607,8,.78,-0.019,-0.09,0.00,0.00,PH
25,299,33,May 7,NYM,@,CIN,W7-6,CG,5,5,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.198,.347,.309,.655,1,.61,0.059,0.46,17.00,21.70,CF LF
26,300,34,May 8,NYM,@,CIN,L2-7,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.188,.333,.294,.627,1,.82,-0.087,-0.85,0.00,0.00,CF
27,301,35,May 9,NYM,@,CIN,L1-2,CG(10),4,4,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,.191,.330,.303,.634,7,1.13,0.006,0.44,5.00,6.00,LF
28,302,36,May 11,NYM,@,PHI,W3-1,CG,4,3,1,2,0,0,1,2,1,0,0,0,0,0,0,0,0,0,.207,.345,.348,.693,6,1.77,0.731,2.22,21.00,28.20,RF LF
29,303,37,May 13,NYM,@,PHI,L2-4,CG,4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.208,.342,.344,.686,6,2.17,-0.151,-1.25,3.00,3.00,CF
30,304,39 (1),May 16,NYM,,TOR,L1-12,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.200,.331,.330,.661,4,.58,-0.057,-0.95,0.00,0.00,RF
31,305,40,May 18,NYM,,ARI,W3-1,CG,4,4,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,.231,.352,.356,.708,5,.67,0.182,2.41,16.00,19.00,CF
32,306,41,May 19,NYM,,ARI,W5-4,CG,4,3,1,1,0,0,1,2,1,0,1,0,0,0,0,0,0,0,.234,.357,.383,.740,6,1.82,0.205,1.71,18.00,25.20,CF
33,307,42,May 20,NYM,,ARI,W4-1,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.225,.346,.369,.715,4,.83,-0.088,-0.79,0.00,0.00,CF
34,308,43,May 21,NYM,,MIA,W2-0,CG,4,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.235,.350,.374,.724,4,.75,-0.059,-0.51,6.00,6.00,CF
35,309,44,May 22,NYM,,MIA,L1-5,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.227,.340,.361,.702,4,.80,-0.080,-0.70,0.00,0.00,CF
